GO biological process complete	Escherichia coli - REFLIST (4403)	Client Text Box Input (3410)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
ribonucleoside triphosphate metabolic process (GO:0009199)	31	31	24.01	+	1.29	7.19E-04	1.19E-02
nucleotide catabolic process (GO:0009166)	30	30	23.23	+	1.29	6.79E-04	1.15E-02
ribonucleoside monophosphate metabolic process (GO:0009161)	39	39	30.20	+	1.29	6.41E-05	1.59E-03
purine nucleoside triphosphate metabolic process (GO:0009144)	31	31	24.01	+	1.29	7.19E-04	1.19E-02
nucleoside diphosphate metabolic process (GO:0009132)	28	28	21.69	+	1.29	1.09E-03	1.75E-02
tRNA aminoacylation for protein translation (GO:0006418)	25	25	19.36	+	1.29	2.85E-03	3.70E-02
taxis (GO:0042330)	37	37	28.66	+	1.29	1.03E-04	2.37E-03
chemotaxis (GO:0006935)	37	37	28.66	+	1.29	1.03E-04	2.35E-03
regulation of bacterial-type flagellum-dependent cell motility (GO:1902021)	26	26	20.14	+	1.29	1.76E-03	2.57E-02
cytokinetic process (GO:0032506)	29	29	22.46	+	1.29	1.13E-03	1.79E-02
dipeptide transport (GO:0042938)	25	25	19.36	+	1.29	2.85E-03	3.69E-02
ATP metabolic process (GO:0046034)	25	25	19.36	+	1.29	2.85E-03	3.67E-02
oligopeptide transport (GO:0006857)	39	39	30.20	+	1.29	6.41E-05	1.58E-03
regulation of locomotion (GO:0040012)	29	29	22.46	+	1.29	1.13E-03	1.78E-02
locomotion (GO:0040011)	37	37	28.66	+	1.29	1.03E-04	2.33E-03
lipid modification (GO:0030258)	25	25	19.36	+	1.29	2.85E-03	3.65E-02
oligopeptide transmembrane transport (GO:0035672)	35	35	27.11	+	1.29	1.67E-04	3.44E-03
fatty acid biosynthetic process (GO:0006633)	25	25	19.36	+	1.29	2.85E-03	3.64E-02
nucleoside phosphate catabolic process (GO:1901292)	32	32	24.78	+	1.29	4.24E-04	7.89E-03
ribonucleotide biosynthetic process (GO:0009260)	50	50	38.72	+	1.29	3.76E-06	1.25E-04
ribose phosphate metabolic process (GO:0019693)	78	78	60.41	+	1.29	3.13E-09	1.88E-07
ribose phosphate biosynthetic process (GO:0046390)	53	53	41.05	+	1.29	2.52E-06	8.65E-05
tRNA aminoacylation (GO:0043039)	25	25	19.36	+	1.29	2.85E-03	3.62E-02
amino acid activation (GO:0043038)	26	26	20.14	+	1.29	1.76E-03	2.56E-02
regulation of cell motility (GO:2000145)	28	28	21.69	+	1.29	1.09E-03	1.74E-02
cytoplasmic translation (GO:0002181)	57	57	44.14	+	1.29	5.73E-07	2.40E-05
dicarboxylic acid biosynthetic process (GO:0043650)	38	38	29.43	+	1.29	1.05E-04	2.36E-03
purine ribonucleoside monophosphate metabolic process (GO:0009167)	24	24	18.59	+	1.29	2.85E-03	3.61E-02
ribonucleoside monophosphate biosynthetic process (GO:0009156)	36	36	27.88	+	1.29	1.67E-04	3.49E-03
purine ribonucleotide biosynthetic process (GO:0009152)	36	36	27.88	+	1.29	1.67E-04	3.46E-03
cell septum assembly (GO:0090529)	27	27	20.91	+	1.29	1.79E-03	2.56E-02
purine ribonucleotide metabolic process (GO:0009150)	54	54	41.82	+	1.29	1.46E-06	5.41E-05
nucleoside triphosphate metabolic process (GO:0009141)	40	40	30.98	+	1.29	6.68E-05	1.61E-03
purine nucleoside monophosphate metabolic process (GO:0009126)	24	24	18.59	+	1.29	2.85E-03	3.60E-02
iron-sulfur cluster assembly (GO:0016226)	24	24	18.59	+	1.29	2.85E-03	3.58E-02
