"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"hcp","","hybrid-cluster protein","4","4","1","1","1106","","","","1025","1652","1495","O78H9China_00539","O78H9HPVN24_00971","O78H9IMT2125UK_00943","O78US_01709"
"aroA","","3-phosphoshikimate-1-carboxyvinyltransferase","4","4","1","1","1071","","","","989","1283","1209","O78H9China_00576","O78H9HPVN24_01010","O78H9IMT2125UK_01019","O78US_01787"
"pepN","","aminopeptidase N","4","4","1","1","1047","","","","1790","2612","2406","O78H9China_00601","O78H9HPVN24_01035","O78H9IMT2125UK_01044","O78US_01812"
"gfcE","","putative exopolysaccharide export protein","4","4","1","1","995","","","","734","1139","1037","O78H9China_00655","O78H9HPVN24_01089","O78H9IMT2125UK_01099","O78US_01866"
"mdoH","","membrane glycosyltransferase; synthesis of membrane-derived oligosaccharide (MDO)","4","4","1","1","933","","","","1220","2513","2189","O78H9China_00721","O78H9HPVN24_01153","O78H9IMT2125UK_01166","O78US_01932"
"lpxL","","lauroyl acyltransferase","4","4","1","1","928","","","","560","920","830","O78H9China_00726","O78H9HPVN24_01158","O78H9IMT2125UK_01173","O78US_01937"
"yjhB","","YjhB MFS transporter","4","4","1","1","4372","","","","839","1217","1122","O78H9China_00834","O78H9HPVN24_04618","O78H9IMT2125UK_04681","O78US_00506"
"group_114","","hypothetical protein","4","4","1","1","1389","","","","419","638","583","O78H9China_00936","O78H9HPVN24_04516","O78H9IMT2125UK_04579","O78US_00404"
"aspA","","aspartate ammonia-lyase","4","4","1","1","1433","","","","800","1436","1277","O78H9China_00983","O78H9HPVN24_04470","O78H9IMT2125UK_04531","O78US_00357"
"group_13","","hypothetical protein","4","4","1","1","4867","","","","2312","2417","2390","O78H9China_02737","O78H9HPVN24_00420","O78H9IMT2125UK_00391","O78US_01130"
"yjbL","","hypothetical protein","4","4","1","1","4183","","","","284","1016","833","O78H9China_01143","O78H9HPVN24_04333","O78H9IMT2125UK_04426","O78US_00238"
"murC","","UDP-N-acetylmuramate-alanine ligase","4","4","1","1","3953","","","","911","1475","1274","O78H9China_01315","O78H9HPVN24_00133","O78H9IMT2125UK_00100","O78US_00823"
"caiT","","L-carnitine : gamma-butyrobetaine antiporter","4","4","1","1","4268","","","","539","1514","1026","O78H9China_01368","O78H9HPVN24_00081","O78H9IMT2125UK_00047","O78US_00770"
"deoA","","thymidine phosphorylase / uracil phosphorylase","4","4","1","1","4332","","","","731","1322","1174","O78H9China_01435","O78H9HPVN24_00015","O78H9IMT2125UK_04819","O78US_00703"
"rhaR_2","","HTH-type transcriptional activator RhaR","4","4","1","1","4475","","","","290","890","740","O78H9China_01475","O78H9HPVN24_04714","O78H9IMT2125UK_04779","O78US_00604"
"pac","","Penicillin G acylase","4","4","1","1","4469","","","","1949","2540","2392","O78H9China_01482","O78H9HPVN24_04708","O78H9IMT2125UK_04773","O78US_00598"
