"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O-H32_Brunei","O-H5_Pakistan","O109H51_Pakistan","O16H48_Indonesia","O1H7_Pakistan","O1K1H7_Korea","O25H4_Denmark","O2K1H5_IMT5155_China","O2K1H5_Korea","O36H5_Pakistan","O76_O8H9_China","O78H4_Australia","O78H4_Korea","O78H51_Korea","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US","O82H8_Thailand","O8H25_Laos","O9H21_China"
"yegS","","lipid kinase","21","21","1","52","12154","","","","899","974","902","OH32Brunei_00014","OH5Pakistan_01750","O109H51Pakistan_02019","O16H48Indonesia_02151","O1H7Pakistan_01879","O1K1H7Korea_01984","O25H4Denmark_02748","O2K1H5China_00204","O2K1H5Korea_02005","O36H5Pakistan_01847","O76O8H9China_00234","O78H4Australia_00326","O78H4Korea_01787","O78H51Korea_02822","O78H9China_00316","O78H9HPVN24_02201","O78H9IMT2125UK_02207","O78US_02973","O82H8Thailand_01900","O8H25Laos_03091","O9H21China_01799"
"ompX_1","","outer membrane protein X","21","21","1","52","9007","","","","515","515","515","OH32Brunei_00668","OH5Pakistan_03230","O109H51Pakistan_03413","O16H48Indonesia_00829","O1H7Pakistan_03368","O1K1H7Korea_03428","O25H4Denmark_03111","O2K1H5China_03749","O2K1H5Korea_03511","O36H5Pakistan_03200","O76O8H9China_02487","O78H4Australia_04170","O78H4Korea_03300","O78H51Korea_01400","O78H9China_00457","O78H9HPVN24_00889","O78H9IMT2125UK_00860","O78US_01627","O82H8Thailand_00274","O8H25Laos_01722","O9H21China_03235"
"sthA","","pyridine nucleotide transhydrogenase","21","21","1","52","12547","","","","1400","1400","1400","OH32Brunei_01247","OH5Pakistan_04657","O109H51Pakistan_04933","O16H48Indonesia_04045","O1H7Pakistan_04793","O1K1H7Korea_04904","O25H4Denmark_03940","O2K1H5China_02324","O2K1H5Korea_05036","O36H5Pakistan_04589","O76O8H9China_02718","O78H4Australia_02579","O78H4Korea_04893","O78H51Korea_04973","O78H9China_04665","O78H9HPVN24_04230","O78H9IMT2125UK_04323","O78US_00127","O82H8Thailand_02791","O8H25Laos_00413","O9H21China_04678"
"hdeB","","acid stress chaperone","21","21","1","52","1479","","","","338","338","338","OH32Brunei_03174","OH5Pakistan_00261","O109H51Pakistan_00439","O16H48Indonesia_03557","O1H7Pakistan_00347","O1K1H7Korea_00226","O25H4Denmark_02304","O2K1H5China_01816","O2K1H5Korea_00258","O36H5Pakistan_00357","O76O8H9China_04684","O78H4Australia_02003","O78H4Korea_00380","O78H51Korea_04396","O78H9China_02547","O78H9HPVN24_03738","O78H9IMT2125UK_03813","O78US_04474","O82H8Thailand_04149","O8H25Laos_04575","O9H21China_00232"
"fbp","","fructose-1,6-bisphosphatase monomer","21","21","1","52","2982","","","","998","998","998","OH32Brunei_00498","OH5Pakistan_04326","O109H51Pakistan_04627","O16H48Indonesia_04332","O1H7Pakistan_04391","O1K1H7Korea_04501","O25H4Denmark_02538","O2K1H5China_02761","O2K1H5Korea_04555","O36H5Pakistan_04279","O76O8H9China_04025","O78H4Australia_03030","O78H4Korea_04587","O78H51Korea_00282","O78H9China_00879","O78H9HPVN24_04573","O78H9IMT2125UK_04636","O78US_00461","O82H8Thailand_00433","O8H25Laos_00715","O9H21China_04344"
"ybgT","","small membrane protein","21","21","1","52","9291","","","","113","113","113","OH32Brunei_00582","OH5Pakistan_03379","O109H51Pakistan_03568","O16H48Indonesia_00750","O1H7Pakistan_03450","O1K1H7Korea_03510","O25H4Denmark_03032","O2K1H5China_03666","O2K1H5Korea_03593","O36H5Pakistan_03350","O76O8H9China_02606","O78H4Australia_03996","O78H4Korea_03470","O78H51Korea_01311","O78H9China_04373","O78H9HPVN24_00769","O78H9IMT2125UK_00745","O78US_01506","O82H8Thailand_00185","O8H25Laos_01634","O9H21China_03325"
"ybhL","","putative inner membrane protein","21","21","1","52","9042","","","","704","704","704","OH32Brunei_00639","OH5Pakistan_03259","O109H51Pakistan_03445","O16H48Indonesia_00800","O1H7Pakistan_03396","O1K1H7Korea_03456","O25H4Denmark_03083","O2K1H5China_03719","O2K1H5Korea_03540","O36H5Pakistan_03231","O76O8H9China_02516","O78H4Australia_04139","O78H4Korea_03330","O78H51Korea_01368","O78H9China_00428","O78H9HPVN24_00860","O78H9IMT2125UK_00830","O78US_01598","O82H8Thailand_00242","O8H25Laos_01691","O9H21China_03267"
"yeiE","","LYSR-type transcriptional regulator","21","21","1","52","12049","","","","881","881","881","OH32Brunei_00090","OH5Pakistan_01673","O109H51Pakistan_01946","O16H48Indonesia_02222","O1H7Pakistan_01804","O1K1H7Korea_01909","O25H4Denmark_02820","O2K1H5China_00280","O2K1H5Korea_01930","O36H5Pakistan_01757","O76O8H9China_00159","O78H4Australia_00404","O78H4Korea_01713","O78H51Korea_02896","O78H9China_00389","O78H9HPVN24_02275","O78H9IMT2125UK_02282","O78US_03046","O82H8Thailand_03622","O8H25Laos_03164","O9H21China_01728"
"hns","","H-NS DNA-binding transcriptional dual regulator","21","21","1","52","10294","","","","413","413","413","OH32Brunei_04920","OH5Pakistan_02677","O109H51Pakistan_02944","O16H48Indonesia_01277","O1H7Pakistan_02806","O1K1H7Korea_02882","O25H4Denmark_04002","O2K1H5China_04895","O2K1H5Korea_03022","O36H5Pakistan_02774","O76O8H9China_02021","O78H4Australia_04592","O78H4Korea_02884","O78H51Korea_01858","O78H9China_02167","O78H9HPVN24_01330","O78H9IMT2125UK_01349","O78US_02109","O82H8Thailand_01593","O8H25Laos_02172","O9H21China_02776"
"malK","","maltose ABC transporter - ATP binding subunit","21","21","1","52","3256","","","","1115","1115","1115","OH32Brunei_04379","OH5Pakistan_04556","O109H51Pakistan_04845","O16H48Indonesia_04129","O1H7Pakistan_04701","O1K1H7Korea_04811","O25H4Denmark_02951","O2K1H5China_02416","O2K1H5Korea_04943","O36H5Pakistan_04503","O76O8H9China_02680","O78H4Australia_02666","O78H4Korea_04805","O78H51Korea_05062","O78H9China_01158","O78H9HPVN24_04318","O78H9IMT2125UK_04411","O78US_00223","O82H8Thailand_03266","O8H25Laos_00500","O9H21China_04590"
