#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IVa	AAC(3)-VIa	APH(3'')-Ib	APH(3')-IIa	APH(3')-Ia	APH(4)-Ia	APH(6)-Id	AcrE	AcrF	AcrS	CRP	CTX-M-1	CTX-M-123	CTX-M-27	CTX-M-55	CTX-M-65	EC-13	EC-15	EC-18	EC-5	EC-8	Escherichia_coli_acrA	Escherichia_coli_emrE	Escherichia_coli_mdfA	FosA3	FosA4	H-NS	MCR-1.1	Mrx	OmpA	PmrF	QnrS1	TEM-1	TEM-135	TEM-141	TEM-150	TolC	YojI	aadA	aadA17	aadA2	aadA22	aadA5	acrB	acrD	arr-2	bacA	catII_from_Escherichia_coli_K-12	cmlA1	cpxA	dfrA1	dfrA12	dfrA14	dfrA15	dfrA17	emrA	emrB	emrK	emrR	emrY	eptA	evgA	evgS	floR	gadW	gadX	kdpE	leuO	linG	marA	mdtA	mdtB	mdtC	mdtE	mdtF	mdtG	mdtH	mdtM	mdtN	mdtO	mdtP	mphA	msbA	oqxA	oqxB	qacEdelta1	qacL	sul1	sul2	sul3	tet(A)	tet(B)	tet(M)	ugd
O2K1H5_IMT5155_China	42	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	100	.	100	100	100	.	.	100	.	.	95.82	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
O109H51_Pakistan	61	.	100.00;100.00	.	100.00;100.00;100.00;100.00;100.00;100.00	.	99.75;99.75	100.00;100.00	100.00;100.00;100.00;100.00;100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	.	100.00;100.00	.	.	100.00;100.00	100.00;100.00	100.00;100.00	.	.	100.00;100.00	100.00;100.00	.	95.82;95.82	100.00;100.00	.	100.00;100.00;100.00;100.00	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	100.00;100.00	100.00;100.00	.	99.76;99.76	.	99.13;99.13	100.00;100.00	.	.	100.00;100.00	.	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.26;99.26	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	.	.	.	100.00;100.00	.	100.00;100.00;100.00;100.00	100.00;100.00	100.00;100.00	.	.	100.00;100.00
O16H48_Indonesia	43	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	100	.	.	100	100	100	.	.	100	.	.	96.89	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
O1H7_Pakistan	43	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	100	.	100	100	100	.	.	100	.	.	95.82	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
O1K1H7_Korea	50	100	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	100	.	100	100	100	.	.	100	.	100	95.82	100	.	100	.	.	.	100	100	.	.	100	.	.	100	100	.	99.76	.	.	100	.	100	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	.	.	.	.	97.8	.	.	100
O25H4_Denmark	42	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	100	.	100	100	100	.	.	100	.	.	96.89	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	99.56	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	.	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
O2K1H5_Korea	43	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	100	.	100	100	100	.	.	100	.	.	95.82	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	99.26	100	.	100	100	100	100	100	100	100	100	.	100	100	100	.	100	.	.	.	.	.	100	.	.	.	.	100
O36H5_Pakistan	49	.	.	.	100.00;100.00	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	100.00;100.00	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	.	.	100.00;100.00	.	.	95.82;95.82	100.00;100.00	100.00;100.00	.	100.00;100.00	.	.	100.00;100.00	100.00;100.00	.	.	.	.	.	100.00;100.00	100.00;100.00	.	100.00;100.00	.	.	100.00;100.00	.	.	.	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.92;99.92	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	.	.	.	.	.	.	.	97.80;97.80	.	.	100.00;100.00
O76_O8H9_China	52	100	.	.	100	.	.	.	100	100	100	100	100	.	.	100	.	.	100	.	.	.	.	100	100	100	.	.	100	.	.	96.89	100	.	.	.	.	100	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	100	.	.	100	100	100	100	100	100	100	100	100	100	100	99.26	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	100	.	97.8	.	.	99.49
O78H4_Australia	43	.	.	.	.	.	.	.	.	100	100	100	100	.	.	.	.	.	.	.	.	.	100	100	100	100	.	.	100	.	.	95.82	100	.	.	.	.	.	100	100	.	.	.	.	.	100	100	.	99.76	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	.	100	100	100	100	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	100
