#FILE	NUM_FOUND	aslA	astA	chuA	chuS	chuT	chuU	chuV	chuW	chuX	chuY	csgB	csgD	csgF	csgG	entA	entB	entC	entD	entE	entF	entS	espL1	espL4	espR1	espR4	espX1	espX4	espX5	espY1	fdeC	fepA	fepB	fepC	fepD	fepG	fes	fimA	fimB	fimC	fimD	fimE	fimF	fimG	fimH	fimI	fyuA	gspC	gspD	gspE	gspF	gspG	gspH	gspI	gspJ	gspK	gspL	gspM	gtrA	gtrB	ibeA	iroB	iroC	iroD	iroE	iroN	irp1	irp2	iucA	iucB	iucC	iucD	iutA	kpsD	kpsM	kpsT	ompA	papB	papC	papD	papE	papF	papG	papH	papI	papJ	papK	papX	pic	shuA	shuS	shuX	vat	yagV/ecpE	yagW/ecpD	yagX/ecpC	yagY/ecpB	yagZ/ecpA	ybtA	ybtE	ybtP	ybtQ	ybtS	ybtT	ybtU	ybtX	ykgK/ecpR
O82H8_Thailand	33	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	98.66	100	100	.	83.81	.	91.28	99.94	100	.	99.41	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
O109H51_Pakistan	62	.	.	.	.	.	.	.	.	.	.	99.78;99.78	100.00;100.00	99.04;99.04	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.28;99.28	100.00;100.00	100.00;100.00	.	83.81;83.81	.	100.00;100.00	99.94;99.94	100.00;100.00	.	99.41;99.41	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.83;99.83	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	99.91;99.91	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	100.00;100.00	100.00;100.00	100.00;100.00	98.80;98.80	99.96;99.96	.	.	.	100.00;100.00	99.37;99.37	.	.	.	.	.	.	94.44;94.44	.	.	.	.	.	.	.	.	99.74;99.74	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	.	.	100.00;100.00
O-H5_Pakistan	26	100.00;100.00	100.00;100.00	.	.	.	.	.	.	.	.	99.78;99.78	100.00;100.00	99.04;99.04	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	99.28;99.28	100.00;100.00	99.89;99.89	.	.	.	99.93;99.93	.	.	99.87;99.87	.	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	100.00;100.00	100.00;100.00	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
O-H32_Brunei	43	100	100	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	99.2	100	100	100	83.73	.	99.93	100	100	99.87	.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.81	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	.	.	.	.	.	.	.	.	100
O2K1H5_IMT5155_China	80	99.93	.	100	100	100	100	100	100	100	100	99.78	100	99.04	100	100	100	100	100	100	99.28	100	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	99.83	100	100	100	100	100	100	100	100	100	99.95	100	100	100	100	100	100	100	100	99.76	.	.	99.93	99.91	100	100	100	100	100	100	100	100	100	98.8	99.96	100	100	100	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	86.64	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O1H7_Pakistan	89	100	.	100	100	100	100	100	100	100	100	99.78	100	99.04	100	100	100	100	100	100	99.28	100	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	99.83	.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.76	.	.	.	99.91	100	100	100	100	100	100	100	100	100	98.8	99.96	100	100	100	100	99.37	100	100	100	100	100	91.67	100	100	100	100	.	.	.	.	100	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O1K1H7_Korea	90	100	.	100	100	100	100	100	100	100	100	99.78	100	99.04	100	100	100	100	100	100	99.28	100	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.76	.	.	.	99.91	100	100	100	100	100	99.98	100	100	100	98.8	99.96	100	100	100	100	99.37	100	100	100	100	100	91.67	100	100	100	100	.	.	.	.	99.98	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O2K1H5_Korea	91	100	100	100	100	100	100	100	100	100	100	99.78	100	99.04	100	100	100	100	100	100	99.28	100	.	.	.	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99.76	.	.	99.93	99.91	100	100	100	100	99.87	99.98	100	100	100	98.8	99.96	100	100	100	100	99.37	100	100	100	100	100	91.67	100	100	100	.	.	.	.	.	100	99.74	100	99.96	100	100	100	100	100	100	100	100	100	100	100
O8H25_Laos	61	.	.	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	99.28	100	99.95	.	83.81	.	100	99.94	100	.	99.76	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	.	.	.	.	.	.	100	100	.	.	.	.	.	.	.	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.74	100	100	100	100	100	100	100	100	100	100	100	100	100
O9H21_China	61	.	100	.	.	.	.	.	.	.	.	99.78	100	99.04	100	100	100	100	100	100	98.66	100	98.42	.	83.81	.	99.93	99.94	100	.	99.76	100	100	100	100	100	100	99.83	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	100	100	100	100	.	.	.	.	.	100	100	100	.	.	100	100	100	98.8	99.96	.	.	.	100	99.37	.	.	.	.	.	.	94.44	.	.	.	.	.	.	.	.	99.74	100	100	100	100	.	.	.	.	.	.	.	.	100
