QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
NIDLIJIB_00002	COG1600	441208	0.0	55.587	QueG	Epoxyqueuosine reductase QueG (queuosine biosynthesis)	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00003	COG0063	439833	2.12e-115	48.561	NnrD	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase (NAXD) domain	F	Nucleotide transport and metabolism
NIDLIJIB_00004	COG0802	440565	9.51e-78	51.37	TsaE	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00005	COG0860	440621	1.29e-77	36.667	AmiC	N-acetylmuramoyl-L-alanine amidase	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00006	COG0323	440092	0.0	39.273	MutL	DNA mismatch repair ATPase MutL	L	Replication, recombination and repair
NIDLIJIB_00007	COG0324	440093	4.83e-176	55.96	MiaA	tRNA A37 N6-isopentenylltransferase MiaA	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00008	COG1923	441526	6.29e-42	62.687	Hfq	sRNA-binding regulator protein Hfq	T	Signal transduction mechanisms
NIDLIJIB_00009	COG2262	441863	0.0	51.659	HflX	50S ribosomal subunit-associated GTPase HflX	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00010	COG0330	440099	2.12e-98	41.065	HflC	Regulator of protease activity HflC, stomatin/prohibitin superfamily	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00011	COG0330	440099	2.54e-87	32.803	HflC	Regulator of protease activity HflC, stomatin/prohibitin superfamily	O	Posttranslational modification, protein turnover, chaperones
NIDLIJIB_00012	COG3242	442474	3.95e-09	48.889	YjeT	Uncharacterized conserved protein YjeT, DUF2065 family	S	Function unknown
NIDLIJIB_00013	COG0104	439874	0.0	62.264	PurA	Adenylosuccinate synthase	F	Nucleotide transport and metabolism
NIDLIJIB_00014	COG1959	441562	1.83e-51	42.222	IscR	DNA-binding transcriptional regulator, IscR family	K	Transcription
NIDLIJIB_00015	COG0557	440323	0.0	54.406	VacB	Exoribonuclease R	K	Transcription
NIDLIJIB_00016	COG0566	440332	3.5e-108	43.983	SpoU	tRNA G18 (ribose-2'-O)-methylase SpoU	J	Translation, ribosomal structure and biogenesis
NIDLIJIB_00017	COG3789	443003	4.26e-51	43.066	YjfI	Uncharacterized conserved protein YjfI, DUF2170 family	S	Function unknown
NIDLIJIB_00018	COG1842	441447	1.57e-24	27.948	PspA	Phage shock protein A involved in membrane remodeling, PspA/Vipp1/IM30 family	M	Cell wall/membrane/envelope biogenesis
NIDLIJIB_00020	COG3766	442980	1e-47	48.485	YjfL	Uncharacterized membrane protein YjfL, UPF0719 family	S	Function unknown
NIDLIJIB_00021	COG5463	444214	5.45e-18	21.649	YgiB	Uncharacterized conserved protein YgiB, UPF0441/DUF1190 family, involved in bioifilm formation	S	Function unknown
NIDLIJIB_00022	COG0754	440517	0.0	52.564	Gsp	Glutathionylspermidine synthase, CHAP domain	E	Amino acid transport and metabolism
NIDLIJIB_00023	COG1960	441563	2.16e-64	27.889	CaiA	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	I	Lipid transport and metabolism
